Property_Name,Unit_Number,Damages
Concord,4902,347.17
Concord,4903,187.67
Concord,4904,0.0
Concord,4905,256.41
Concord,4906,93.26
Concord,4907,508.03000000000003
Concord,4908,205.17000000000002
Concord,4909,231.43
Concord,4910,25.11
Concord,4911,220.52
Concord,4912,301.15999999999997
Concord,4913,2.03
Concord,4914,324.48
Concord,4915,107.59
Concord,4916,169.24
Concord,4917,14.690000000000001
Concord,4918,172.89
Concord,4919,298.27
Concord,4920,367.04
Concord,4921,222.57
Concord,4922,446.13
Concord,4923,302.03
Concord,4924,323.72
Concord,4925,406.5
Concord,4926,337.51
Concord,4927,266.66
Concord,4928,271.5
Concord,4929,385.38
Concord,4930,369.31
Concord,4931,178.32
Concord,4932,882.4
Concord,4933,418.91
Concord,4934,582.06
Concord,4935,286.07
Concord,4936,353.24
Concord,4937,799.68
Concord,4938,190.34
Concord,4939,67.47
Concord,4940,326.99
Concord,4941,198.52
Concord,4942,182.78
Concord,4943,178.8
Concord,4944,62.56
Concord,4945,161.99
Concord,4946,283.36
Concord,4947,201.66
Concord,4948,120.31
Concord,4949,235.52
Concord,4950,156.09
Concord,4951,233.0
Concord,4952,396.62
Concord,4953,355.33
Concord,4954,156.47
Concord,4955,776.76
Concord,4956,114.07
Concord,4957,353.49
Concord,4958,130.88
Concord,4959,449.86
Concord,4960,187.5
Concord,4961,157.28
Concord,4962,541.75
Concord,4963,472.45
Concord,4964,1236.23
Concord,4965,135.39
Concord,4966,310.23
Concord,4967,199.26999999999998
Concord,4968,322.12
Concord,4969,303.28
Concord,4970,176.45
Concord,4971,277.91
Concord,4972,157.42
Concord,4973,404.65999999999997
Concord,4974,278.3
Concord,4975,270.0
Concord,4976,274.43
Concord,4977,467.9
Concord,4978,234.13
Concord,4979,189.28
Concord,4980,328.47
Concord,4981,451.61
Concord,4982,368.04
Concord,4983,168.10999999999999
Concord,4984,258.96
Concord,4985,280.4
Concord,4986,640.11
Concord,4987,303.52
Concord,4988,385.0
Concord,4989,145.98
Concord,4990,249.59
Concord,4991,703.33
Concord,4992,469.78
Concord,4993,599.22
Concord,4994,473.66
Concord,4995,413.98
Concord,4996,367.7
Concord,4997,558.12
Concord,4998,275.33
Concord,4999,332.74
Concord,5000,227.48000000000002
Concord,5001,114.07000000000001
Concord,5002,533.18
Concord,5003,327.6
Concord,5004,149.22
Concord,5005,335.12
Concord,5006,74.66
Concord,5007,210.05
Concord,5008,194.63
Concord,5009,245.34
Concord,5010,231.44
Concord,5011,380.56
Concord,5012,216.62
Concord,5013,837.8
Concord,5014,516.67
Concord,5015,502.79
Concord,5016,382.03000000000003
Concord,5017,251.4
Concord,5018,208.59
Concord,5019,791.08
Concord,5020,259.52
Concord,5021,276.32
Concord,5022,239.39
Concord,5023,215.92
Concord,5024,237.39
Concord,5025,324.76
Concord,5026,63.9
Concord,5027,619.35
Concord,5028,305.79
Concord,5029,171.53
Concord,5030,454.21999999999997
Concord,5031,263.57
Concord,5032,290.14
Concord,5033,469.61
Concord,5034,184.45
Concord,5035,263.02
Concord,5036,289.3
Concord,5037,217.04
Concord,5039,169.48
Concord,5040,325.93
Concord,5041,367.17
Concord,5042,317.1
Concord,5043,381.73
Concord,5044,506.6
Concord,5045,225.67
Concord,5046,160.27
Concord,5047,173.54
Concord,5048,137.22
Concord,5049,465.79
Concord,5050,71.69
Concord,5051,65.18
Concord,5052,276.29
Concord,5053,532.31
Concord,5054,770.1
Concord,5055,390.76
Concord,5056,349.12
Concord,5057,539.25
Concord,5058,265.96
Concord,5059,108.11
Concord,5060,139.25
Concord,5061,300.61
Concord,5062,55.55
Concord,5063,415.54
Concord,5064,637.0699999999999
Concord,5065,78.16
Concord,5066,298.69
Concord,5067,283.18
Concord,5068,222.41
Concord,5069,603.87
Concord,5070,373.05
Concord,5071,263.03
Concord,5072,547.14
Concord,5073,234.04
Concord,5074,257.51
Concord,5075,212.03
Concord,5076,325.59
Concord,5077,313.76
Concord,5078,266.59
Concord,5079,108.13
Concord,5080,121.44
Concord,5081,0.0
Concord,5082,705.52
Concord,5083,203.88
Concord,5084,275.24
Concord,5085,201.63
Concord,5086,171.25
Concord,5088,461.05
Concord,5089,100.93
Concord,5090,473.0
Concord,5091,254.71
Concord,5092,130.86
Concord,5093,302.53
